# Music Cards song catalog — one physical card per line.
# Format: title;artist;year;spotify-link
# Generated by ImportPlaylists (make import); edit years freely, they
# come from the ALBUM release date and compilations are marked below.
Bozk;I.M.T. Smile;2016;spotify:track:3I5bt8ZBto92bymAA3UFM6
Zlodej slnečníc;Elán;1982;spotify:track:17vYgowEOJfk3VbQ8d6s3I
Demons;EMMA DROBNÁ;2019;spotify:track:6cfIAYcfia88yF6jeQxyD3
Na Vianoce;ADAM ĎURICA;2017;spotify:track:68Vk9LUerU1Bp3xQ4hyIqf
Stesi je krasna vec;Richard Muller;2012;spotify:track:4tA1ZlVipO3KOlBdXrwNvk
Solitaire;POKÁČ;2024;spotify:track:3HTyUypYEQMnOfC6FPMi25
Baby;EDDIE STOILOW;2013;spotify:track:25Ejaq4FZVgvFefZEFq3NO
NATRI;SMOLA A HRUŠKY;2026;spotify:track:25JrRzslL0sfygUgwJPJOe
Netrpezliví;Elán;1982;spotify:track:3rGa6kHHaB2DUmUAeXpu8v
Šednem Sebe / Sedem Červených Ruží;PARTIA OD ŽILINY;2023;spotify:track:2PpZ7MJWb3mYB9D9wpdp49
MÁM POCIT, ŽE TĚ ZTRÁCÍM;POETIKA;2023;spotify:track:3p9CVEcDhKJ3Anvo3hjzcK
Bobi;Martin Madej;1996;spotify:track:5K0tS7GnNeOfrlAjwZTk01
Víte jak to bolí;Kabát;1999;spotify:track:5D03yW4ifbPFHDjg0ejFfs
Ráno;Iné Kafe;2000;spotify:track:2ZfweMhYT4YO5xJHo2cXLK
Púšťam ťa;KALI & PETER PANN;2016;spotify:track:4eAOZKgrF3mbN6TvSsCLE8
Láskoproud;VERONA;2018;spotify:track:1U5yC2QLkmm2IrKsv3N7YQ
Budeme to stále my;I.M.T.SMILE;2018;spotify:track:2AJiOEBnRrsxdVKDv1iyMV
Vánoce jako dřív;MAREK ZTRACENÝ & HANA ZAGOROVÁ;2021;spotify:track:5T9IrJgOUnAC0OcPCQdBxl
Cerni andele - Remastered 2013;Lucie;1991;spotify:track:6zAvxAZendKFgo2KbgMMa4
