# Music Cards song catalog — one physical card per line.
# Format: title;artist;year;spotify-link
# Generated by ImportPlaylists (make import); edit years freely, they
# come from the ALBUM release date and compilations are marked below.
Stížnost!;CHINASKI;2013;spotify:track:2JLHjALbFqqEXc9SIA14sL
Děkuju Ti;LUCIE BÍLÁ;2023;spotify:track:2VOo3uHQA4PoGuVfUCFtxM
All I Can See;ŠORTY;2016;spotify:track:7ir42S2KcIeFFsVk1T8AHx
len kúsok teba.;ERYCAN;2026;spotify:track:6HNg0QtzL8PC45SS6V4bUF
Do nebe se propadám;KRYŠTOF;2021;spotify:track:004eXqY0iEuC41q47LUkze
Žal Se Odkládá;Jiří Korn;2009;spotify:track:2GTdCLSPj2ag8pHYPAop51
Decibely Lásky;Michal David;2010;spotify:track:7GunWknClH4nJwXgGuoyVU
Prvá;Miro Žbirka;1988;spotify:track:2fKyAD9HrKOn99FjqbbTaf
Pohádka;SUPPORT LESBIENS;2016;spotify:track:11ZAwyvDVkG08UjaVk2hIE
Každý Mi Tě Lásko Závidí;Michal David;2010;spotify:track:6uSKwVZhnkcHwe0nkyYTdD
Vyznanie;Marika Gombitova;1979;spotify:track:573Fuzkak1eKdWul9svNyY
V nebi snad ti prominou;PETR KOLÁŘ;2026;spotify:track:4QlMTLAoNSaU2K4nd4ohhs
Pohoda - Live;Kabát;2009;spotify:track:03YWeyBUbOwlpdRG5TBftm
Na hotelu V Olomouci;Szidi Tobias;2012;spotify:track:2TM5TIPMoHAtjTuFWowr3p
babyboy;Karin Ann;2022;spotify:track:2uUj5dEGjE4ZQZkrwgnJnd
Balada o poľných vtákoch;Miro Žbirka;1980;spotify:track:5JV8HAamkjss6MJurbLQkk
Láska a data;CHINASKI;2019;spotify:track:6Gpa8kQw5Zi657IsB83EQz
Brďokoky;Horkýže Slíže;2002;spotify:track:0W9GPgeBWnHlUFRNw7E5i6
Nejsi sám;MIRO ŽBIRKA feat. DAVID ŽBIRKA;2022;spotify:track:63U1976vnrJ73cTe0UnFwx
Ranny Bubak;Rakby;2013;spotify:track:02vtTBjBoPgPXACne7qWSm
Mám v p... na lehátku;Horkýže Slíže;2012;spotify:track:4UblvwKwd4yADj30OP9oib
Aj keď ťa mám;PETER JUHÁS;2026;spotify:track:4YwiZypkcI4tvglokWxygx
Zlatokopky;Rytmus;2009;spotify:track:4Bh5TzvbtKBDujKj9TNAg1
Světlo (feat. Bára Jánová);FATE MAGAZINE;2023;spotify:track:4NgK78akjpMDkZ7hsvHIEk
Marianna;Heľenine Oči;2004;spotify:track:5egcFsRvcRYCGywKUxUV65
Nahy 2;Richard Muller;2012;spotify:track:5e9wDvhSzyf0gHlQj0XMWZ
Ľúbim ťa;Michal Dočolomanský;1977;spotify:track:3C1lTafrKPH93LpWbw5cYJ
Až bude pokosená tráva;Eva Kostolányiová;1972;spotify:track:6PUtQzDT5jOUIAqmVOzkKn
Milióóóny přání;CHINASKI & KATKA KNECHTOVÁ;2018;spotify:track:6cHIlTBxzGoCivKNUs8fwD
Spolu;ADAM ĎURICA;2016;spotify:track:4ncOD5M8FVVJTcqDIDdwe3
No Common Measure;ADONXS;2023;spotify:track:78G3YfxTAEQh4EE7xIidsc
Zastav mě;MAREK ZTRACENÝ;2025;spotify:track:0OwzceTCTQMkKYfy9IkSz5
Stále Mlád;Karel Gott;2011;spotify:track:4qY5Y0UVQKX8x5MWGUPZ1P
Vela Lasky;Ivan Tasler;2012;spotify:track:3lqBYbHvX3RTTxckSfKMs5
ONI;KABÁT;2022;spotify:track:5BIznPBajDEarKmU1Mwvx4
Lásko Má Já Stůňu;Helena Vondráčková;1971;spotify:track:5jk2hID6AIcAUm4amEgq85
Opri Sa O Mna;I.M.T. Smile;2000;spotify:track:2oVBDr79HXZFNi55VOKnEz
Miluju Tě;JELEN;2023;spotify:track:3TZDJDdiytDTe26oVOSDnJ
Podvod;Brontosauri;2007;spotify:track:4B1mxA6kbelF6cO7hYbpXH
Oddych;S.E.K.I. & Taifun;2012;spotify:track:3w1QscS7Yq0gq4g2hwGiJS
Až Nám Rusi Zavrú Ropu (Bonus);Bukasový Masív;2000;spotify:track:2wSyji9iEEEPbe8DVadgK9
OKAY;ALYA;2026;spotify:track:2Mm8YoSQsc8Xwm9Mb3e0QW
Medvidek - Remastered 2013;Lucie;1998;spotify:track:04cTwSP8GgagTN1tqQ9yYq
Vždycky se budeme znát;ANNA K.;2017;spotify:track:4Yjvs60bLdqnNFiOJysr0r
Vzpomeneš si?;EWA FARNA & MIRAI;2026;spotify:track:6IZJzEaBEHhyc3kFFM157L
High;EMMA DROBNÁ;2025;spotify:track:0vVhWtSxRrN6CmrPq3N495
Maluj Zase Obrázky;Hana Zagorová;2006;spotify:track:02oCMVABdBGYUUlAr5O1b5
O Bláznech;Michal Penk;2002;spotify:track:6JjAMYW3gGIgqeMLNlkmG3
Za Sklom;Korben Dallas;2014;spotify:track:1nb9sZ6w3R7CSxQvgQkvbU
Pretekáme;NELA POCISKOVÁ;2026;spotify:track:64Bfk2HoShN6aH0fviRRyP
Mels me vubec rad;Ewa Farna;2006;spotify:track:1LQzySS3USmq6kOIEi2e4Z
Chtěl Jsem Mít;Turbo;1985;spotify:track:2tXc8ZXI2vJM2b8i5XeVUf
Ty ja a môj brat (Sklíčka);Modus;1984;spotify:track:1rBWEco8pN0jJ2oGcW7KcU
C'Est La Vie;Karel Gott;2007;spotify:track:1Gw95KoR7HBMNIb2OvCfDL
Silný refrén;Horkýže Slíže;2007;spotify:track:6wnc03soJZURZVtyAbK81X
Kaskader;Elán;1981;spotify:track:4uOjeRiIwIKKUhVRXefEFD
Neviem byt sam;Elán;1984;spotify:track:1l2bM511Nfmoc55dsnCeUp
Slavíci z Madridu;Waldemar Matuška;1968;spotify:track:3SY5c1sMaxlqADgOKSONQR
Igelit;Jan Nedved;2012;spotify:track:7swzRTeYkQcxcncMY5t7sm
Naše cesty;MAREK ZTRACENÝ;2018;spotify:track:3NIXc097uc92QNraPOQA8K
Duše do vesmíru;HRŮZA MICHAL & KLÁRA VYTISKOVÁ;2013;spotify:track:6kNxVvQxai5iLV4tKcsyzA
Kométa (pre Gumpa);DESMOD & MAJSELF;2020;spotify:track:1ojjriIxtIrOQ6qfNHfTit
Believe (Hey Hey);MIKOLAS;2016;spotify:track:3aZsTRqX7WZ3y4RecDr53A
Bude mi lehka zem;Petr Hapka;2001;spotify:track:6BgJh3AodnnexqO1dYAoVn
Maly princ 2007;aya;2008;spotify:track:5u2CK0bPubHjBWl3MM9u0v
V slepých uličkách;Miro Žbirka;1980;spotify:track:7galDJdoUTEqzY9LzgVqmS
I tak to za to stojí;O5 A RADEČEK & ELLY;2024;spotify:track:3ISP9WJvNOlEEsrdGDN4n1
Tu Kytaru Jsem Koupil Kvůli Tobě;Václav Neckář;1995;spotify:track:46Z1p1cS9bhhxwFEtGG6eO
Biely kvet;Miro Žbirka;1982;spotify:track:7fTuPhyzHOLsPX2S91xtpe
Maťo a Linda;Hex;1997;spotify:track:7brfOjwULArCCJsXVhx2qF
Sme pre seba stvorení (feat. Lucie Vondráčková);SÁM SEBOU;2025;spotify:track:6Ty6cRrhJWc0whvoahOo2b
Souhvězdí;HODINY;2022;spotify:track:6H39LpHdTgm8BoXiQfJm5N
Dievča z Budmeríc;Karol Duchoň;1976;spotify:track:6BHQi6KKe6JzL5knJHLI71
Tančíme spolu;TICHÁ KATEŘINA MARIE feat. JELEN;2013;spotify:track:2kFWuZQ0tBW65BL8yhtIjy
Šípková Růženka;Jiří Schelinger;1976;spotify:track:3p2McPCPJ5ybFzftT5FJFi
Pomalu;MAREK ZTRACENÝ;2023;spotify:track:4Cvhgpxv6sHWEfXxXoY6jL
Keď bola v móde polka;Zora Kolínska;1974;spotify:track:3WEWH6ZmXI374NYUhOShEy
Nikto nemusí byť sám;PAVOL HABERA;2023;spotify:track:4z2a7YVgir15G3pwoUGWEB
Plesový marš;Richard Muller;1988;spotify:track:4wkY2tNyDG8xHt5IqQvETL
Profesionál;Heľenine Oči;2013;spotify:track:7LC1U33kskpFWYxAvE1507
Síla Starejch Vín;ŠKWOR;2013;spotify:track:6qgMr9LacgnihY9IdYriMP
Shanghaj Cola;Horkýže Slíže;2004;spotify:track:75QbfZ2rXblGF38DoA3yFY
S tebou;Miro Žbirka;1983;spotify:track:3pX4hbowQduI0v9xA1yYPY
The City;SUPPORT LESBIENS;2013;spotify:track:5fTiQEEt3e6LbD5RQk4ard
summer love;MIRAI;2023;spotify:track:5eeSiodpljGvQrTPQiUDke
Pro Emu;MICHAL HRŮZA;2017;spotify:track:7p5hiut8iWUpKVKQYgVfD9
Zanedbany Sex;Elán;2001;spotify:track:1GCSDysJ9G4QFbn6hHJlam
Dnes už viem;Pavol Hammel;1983;spotify:track:0zFQUQpPMAIHCvb9ctLwHn
Pohoda;Kabát;2013;spotify:track:4mFaTs02aK7rmNyImbU32m
Už Mi Lásko Není Dvacet Let;Jiří Zmožek;1990;spotify:track:3b8bBSvoCgLLL1ZRUWb64S
Originál;MAREK ZTRACENÝ;2023;spotify:track:3ETrlUhExlllX8viEuCbWM
Láska necestuj tým vlakom;Pavol Habera;2005;spotify:track:3q63WnkYRJs9K1nGkzXm3d
Holky Z Naší Školky;Stanislav Hložek;2010;spotify:track:2hz5HK1gfkIPBL5arJMrVw
Kazdy rano;Chinaski;2014;spotify:track:71pE0tfIU0gTbXD7EdPyyC
Perpetuum mobile;Ewa Farna;2026;spotify:track:54Ds61aYzZyAwKwBSS49vJ
Hned teď (pojď být světlometem);KRYŠTOF;2021;spotify:track:4YDxBV9ZP7b3n6PA2HVe5j
Zavři oči když se červenám;Ilona Csakova;2012;spotify:track:7LuESeKru1p7zSD28XNaeh
Pretty On Paper;RUE GALE & NEXT GENERATION;2026;spotify:track:07kGCRFjbCqxBM84bApshb
Miesta;ZUZANA SMATANOVÁ & ADAM ĎURICA;2018;spotify:track:2WvPw7hDroQeLhAQpQ0hKT
Tri Slova;Marika Gombitova;2001;spotify:track:6LRvfuTyYhjGOJc4NFWhqZ
Nevrav Mi Aky Som;Desmod;2017;spotify:track:5fOfC0K7lziTIh3tNEzhaj
Že mi je ľúto (feat. Lojzo);Elán;1986;spotify:track:7JlFvQWTY8ZlsnMeIEVyp5
On My Head;Dan Bárta;2004;spotify:track:1lkT3GByr30WBU7toNBtGf
Na malou chvíli;ANNA K.;2020;spotify:track:0rKh5O0k1gaU65rqUqT2pw
Děti Ráje;Michal David;2010;spotify:track:7IgWbtdZ9FaELQfNZGUzjz
On The Menu;JAKUB ONDRA;2015;spotify:track:4XI1ZMj435JQfgWRyY89E3
Správne dievča;Marika Gombitova;1986;spotify:track:1OXb4bGErtHKHCXXracBk8
Look Amazing;MATEJ SMUTNÝ;2026;spotify:track:31lkaPe9Nmr2p7f39nvoYx
Křídla;LIKE-IT;2020;spotify:track:0wcEydQW4QYljK5NOBkMsq
Včielka;Kandráčovci;2015;spotify:track:5BHnyycPCPegoxddKr7Dhq
Zahoď starosti;Jana Kocianová;1973;spotify:track:71FoTaJpYlJPebqXx0issl
Tlaková níž;Richard Muller;1986;spotify:track:3PdOaRZoZDIhrVUNI7fSjC
Atlantida;Miro Žbirka;2011;spotify:track:3EBBU5TnlF69ZDc21f0592
Kristínka iba spí;Peter Nagy;1984;spotify:track:5T6VLDOhJ9Ek6ttb4VozXW
Si moja hviezda;Gipsy Čáve;2022;spotify:track:0Nfm0qhyxEvT3W37yRhqEs
Moderní děvče;Kabát;1993;spotify:track:2T1YfDIQ52iFV7FWbP3DEC
Humor.Sk;Kortina;2013;spotify:track:5ksDs4fqeYRHbpp6Rqp0Kx
Pár Přátel;Michal David;1987;spotify:track:4A2r0EfVQrZXsjoLVT4NcI
Heartbeat;THE CARSLEEPERS;2020;spotify:track:0egAt7NIdX2aCbCiaDNg6k
Zůstaň tu se mnou (Za sny);KRYŠTOF;2017;spotify:track:3iAaExberFeJSKfsV2loCd
KGB;ADÉLA;2026;spotify:track:7C7vnAW3L8ahsOGsZKY6EP
Byt 66;KATEŘINA MARIE TICHÁ;2026;spotify:track:1Yg00BdInyOR5t6KBrPJ0P
Endless Day;VERONA;2016;spotify:track:60fxD18zwYFLVvu77OqdC3
Toulavá;Sebastian;2017;spotify:track:5UUhE8qire5WpZX42tInJR
Popelka;XINDL X;2016;spotify:track:6kYUfUMJqTjkrGwwDjh8B3
Chci zas v tobe spat;Lucie;2003;spotify:track:2vS6SP5AZdlfzXDp2Yn59p
Medzitým;INSTINCT;2016;spotify:track:3X2ZhPFHzoOMUKHLxLQT3T
Panubohudooken;Tomas Klus;2011;spotify:track:0psYUZ1hkRJcwTm48PXaBJ
Po schodoch;Richard Müller & Banket;1986;spotify:track:0txSi550sRew7KVhJfJyio
Taliansky muzikál;Júlia a Peter Heckovci;1987;spotify:track:7z6jAicyQX7VubVps20E1p
Mam Krasny Sen (Hawaii);I.M.T. Smile;2009;spotify:track:7iosBZBfgpwjhreSi37f3O
Svatý čas;DAVID DEYL;2016;spotify:track:22RrBvB4KTFmnXjFxJhQGO
Too Good To Be True;TOMAS ROBIN;2023;spotify:track:7nUFULmCd9bGZn8LXgpv2j
Laska;Gladiator;2000;spotify:track:2aw3VIRnW0CyKpHMCUvb4f
Obchádzka;Heľenine Oči;2017;spotify:track:7d2YARUOqYMvHrOxDrQH49
Dívka S Perlami Ve Vlasech;Ales Brichta;2000;spotify:track:0TIBMl6iHA8erbDFHZxuV8
A ja sprostá;Horkýže Slíže;2004;spotify:track:1tRUTDC96dxQv8truEHmmM
Sen;MC Erik & Barbara;1996;spotify:track:2gacTPRpwes3Ixrg9ZDb4R
Holubí Dům;Jiří Schelinger;1972;spotify:track:5Us0TKtDhVUisoXqiJajA4
Spomal;Peha;2012;spotify:track:6iEEjygmCeJ5nCTSlg1fMf
Nič sa nemení;KALI & I.M.T. SMILE;2023;spotify:track:0NJQHng8dKNfJfOktO9XgF
Malá dáma;Kabát;2007;spotify:track:0nVCQoIiDjnZWXHMRCD2Ko
Horúca láska;LUKÁŠ ADAMEC;2017;spotify:track:4Its5hK5n6UrBXKxYheTL7
S tebou;SLÁVKA TKÁČOVÁ;2026;spotify:track:0eeBxyjto27IQCHhsYpzXp
Na ostří nože;Ewa Farna;2020;spotify:track:2QvaPJZpFrlFa660GxjmFs
Ty vieš že sa chovám tak jak sa chovám;Horkýže Slíže;2021;spotify:track:6rotO5hPRhhxD7vfRqgytN
Ucitelka chémie;Lojzo;1985;spotify:track:5w98l4cUtaH4d8EDo5C1kh
Vincentka van Gogová;Lojzo;1985;spotify:track:7li5X64OJfh1uq7GYayGce
Spocitaj ma;Richard Muller;2012;spotify:track:0P1Ui0c1NZeBCQf0RFwMkr
